,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
1,Inlet-Tasman Bay.,Acts Intended to Cause Injury,2023,Nelson Region,1
2,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
3,The Wood.,Theft and Related Offences,2023,Nelson Region,1
4,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
5,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
6,Inlet-Tasman Bay.,Theft and Related Offences,2023,Nelson Region,1
7,Inlet-Tasman Bay.,Theft and Related Offences,2023,Nelson Region,1
8,Washington.,Acts Intended to Cause Injury,2023,Nelson Region,1
9,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
10,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
11,Bronte.,Acts Intended to Cause Injury,2023,Nelson Region,1
12,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
13,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
14,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
15,Bronte.,Acts Intended to Cause Injury,2023,Nelson Region,1
16,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
17,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
18,Broads.,Theft and Related Offences,2023,Nelson Region,1
19,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
20,Washington.,Acts Intended to Cause Injury,2023,Nelson Region,1
21,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
22,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
23,Inlet-Tasman Bay.,Sexual Assault and Related Offences,2023,Nelson Region,1
24,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,2
25,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
26,Nelson Airport.,Acts Intended to Cause Injury,2023,Nelson Region,1
27,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
28,Grampians.,Acts Intended to Cause Injury,2023,Nelson Region,1
29,Nelson Airport.,Acts Intended to Cause Injury,2023,Nelson Region,1
30,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
31,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
32,Isel Park.,Acts Intended to Cause Injury,2023,Nelson Region,1
33,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
34,Britannia.,Acts Intended to Cause Injury,2023,Nelson Region,1
35,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
36,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
37,Ngawhatu.,Theft and Related Offences,2023,Nelson Region,1
38,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
39,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
40,Grampians.,Acts Intended to Cause Injury,2023,Nelson Region,1
41,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
42,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
43,Toi Toi.,Acts Intended to Cause Injury,2023,Nelson Region,1
44,Isel Park.,Theft and Related Offences,2023,Nelson Region,2
45,Grampians.,Theft and Related Offences,2023,Nelson Region,1
46,Bronte.,Theft and Related Offences,2023,Nelson Region,1
47,The Wood.,Theft and Related Offences,2023,Nelson Region,1
48,Langbein.,Acts Intended to Cause Injury,2023,Nelson Region,1
49,Maitai.,Acts Intended to Cause Injury,2023,Nelson Region,1
50,Nayland.,Acts Intended to Cause Injury,2023,Nelson Region,1
51,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
52,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
53,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
54,Nelson Airport.,Acts Intended to Cause Injury,2023,Nelson Region,1
55,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
56,Nelson Airport.,Theft and Related Offences,2023,Nelson Region,1
57,Maitai.,Theft and Related Offences,2023,Nelson Region,1
58,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
59,Langbein.,Acts Intended to Cause Injury,2023,Nelson Region,1
60,Atmore.,Theft and Related Offences,2023,Nelson Region,1
61,Bronte.,Theft and Related Offences,2023,Nelson Region,1
62,The Wood.,Theft and Related Offences,2023,Nelson Region,1
63,Isel Park.,Theft and Related Offences,2023,Nelson Region,2
64,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
65,Grampians.,Theft and Related Offences,2023,Nelson Region,1
66,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
67,Tahuna Hills.,Theft and Related Offences,2023,Nelson Region,1
68,Kirks.,Theft and Related Offences,2023,Nelson Region,1
69,Britannia.,Theft and Related Offences,2023,Nelson Region,1
70,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
71,Atmore.,Theft and Related Offences,2023,Nelson Region,1
72,Nayland.,Theft and Related Offences,2023,Nelson Region,1
73,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
74,Trafalgar.,Theft and Related Offences,2023,Nelson Region,3
75,Broads.,Theft and Related Offences,2023,Nelson Region,1
76,Bronte.,Theft and Related Offences,2023,Nelson Region,1
77,Bronte.,Theft and Related Offences,2023,Nelson Region,1
78,Bronte.,Theft and Related Offences,2023,Nelson Region,1
79,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
80,Nayland.,Theft and Related Offences,2023,Nelson Region,1
81,Tahuna Hills.,Theft and Related Offences,2023,Nelson Region,1
82,The Wood.,Theft and Related Offences,2023,Nelson Region,1
83,The Wood.,Theft and Related Offences,2023,Nelson Region,1
84,Atawhai.,Theft and Related Offences,2023,Nelson Region,1
85,Nelson Airport.,Theft and Related Offences,2023,Nelson Region,1
86,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
87,Nelson Airport.,Theft and Related Offences,2023,Nelson Region,1
88,Nayland.,Theft and Related Offences,2023,Nelson Region,1
89,Nayland.,Theft and Related Offences,2023,Nelson Region,1
90,Britannia.,Theft and Related Offences,2023,Nelson Region,1
91,Atmore.,Theft and Related Offences,2023,Nelson Region,1
92,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
93,Enner Glynn.,Theft and Related Offences,2023,Nelson Region,1
94,Britannia.,Theft and Related Offences,2023,Nelson Region,1
95,Langbein.,Theft and Related Offences,2023,Nelson Region,1
96,Tahuna Hills.,Theft and Related Offences,2023,Nelson Region,1
97,Kirks.,Theft and Related Offences,2023,Nelson Region,1
98,Washington.,Theft and Related Offences,2023,Nelson Region,1
99,Tahunanui.,Theft and Related Offences,2023,Nelson Region,1
100,Port Nelson.,Theft and Related Offences,2023,Nelson Region,1
101,Port Nelson.,Theft and Related Offences,2023,Nelson Region,1
102,Inlet-Tasman Bay.,Theft and Related Offences,2023,Nelson Region,1
103,Nayland.,Theft and Related Offences,2023,Nelson Region,1
104,Nayland.,Theft and Related Offences,2023,Nelson Region,1
105,Washington.,Theft and Related Offences,2023,Nelson Region,1
106,Grampians.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
107,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
108,Trafalgar.,Sexual Assault and Related Offences,2023,Nelson Region,1
109,Washington.,Theft and Related Offences,2023,Nelson Region,1
110,Nelson Airport.,Theft and Related Offences,2023,Nelson Region,1
111,Maitlands.,Theft and Related Offences,2023,Nelson Region,1
112,Inlet-Tasman Bay.,Theft and Related Offences,2023,Nelson Region,1
113,Inlet-Tasman Bay.,Theft and Related Offences,2023,Nelson Region,1
114,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
115,Trafalgar.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
116,Grampians.,Theft and Related Offences,2023,Nelson Region,1
117,Britannia.,Theft and Related Offences,2023,Nelson Region,1
118,Washington.,Theft and Related Offences,2023,Nelson Region,1
119,Maitlands.,Theft and Related Offences,2023,Nelson Region,1
120,Nelson Airport.,Theft and Related Offences,2023,Nelson Region,1
121,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
122,Isel Park.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
123,Tahunanui.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
124,Bronte.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
125,Maitai.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
126,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
127,Britannia.,Theft and Related Offences,2023,Nelson Region,1
128,Britannia.,Theft and Related Offences,2023,Nelson Region,1
129,Britannia.,Theft and Related Offences,2023,Nelson Region,1
130,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
131,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
132,Britannia.,Theft and Related Offences,2023,Nelson Region,1
133,Grampians.,Theft and Related Offences,2023,Nelson Region,1
134,Atawhai.,Theft and Related Offences,2023,Nelson Region,1
135,Port Nelson.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
136,Trafalgar.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
137,Langbein.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
138,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
139,Nelson Airport.,Theft and Related Offences,2023,Nelson Region,1
140,Broads.,Theft and Related Offences,2023,Nelson Region,1
141,Ngawhatu.,Theft and Related Offences,2023,Nelson Region,1
142,Nelson Airport.,Theft and Related Offences,2023,Nelson Region,1
143,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
144,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
145,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
146,Tahunanui.,Theft and Related Offences,2023,Nelson Region,1
147,Britannia.,Theft and Related Offences,2023,Nelson Region,1
148,The Wood.,Theft and Related Offences,2023,Nelson Region,1
149,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
150,Kirks.,Theft and Related Offences,2023,Nelson Region,1
151,Nelson Airport.,Theft and Related Offences,2023,Nelson Region,1
152,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
153,Broads.,Theft and Related Offences,2023,Nelson Region,1
154,Clifton.,Theft and Related Offences,2023,Nelson Region,1
155,Enner Glynn.,Theft and Related Offences,2023,Nelson Region,1
156,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
157,Langbein.,Theft and Related Offences,2023,Nelson Region,1
158,Nayland.,Theft and Related Offences,2023,Nelson Region,1
159,Nayland.,Theft and Related Offences,2023,Nelson Region,1
160,Ngawhatu.,Theft and Related Offences,2023,Nelson Region,1
161,Saxton.,Theft and Related Offences,2023,Nelson Region,1
162,Washington.,Theft and Related Offences,2023,Nelson Region,1
163,Enner Glynn.,Theft and Related Offences,2023,Nelson Region,1
164,Grampians.,Theft and Related Offences,2023,Nelson Region,1
165,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
166,Maitlands.,Theft and Related Offences,2023,Nelson Region,1
167,Tahuna Hills.,Theft and Related Offences,2023,Nelson Region,1
168,Enner Glynn.,Theft and Related Offences,2023,Nelson Region,1
169,Langbein.,Theft and Related Offences,2023,Nelson Region,1
170,Langbein.,Theft and Related Offences,2023,Nelson Region,1
171,Maitlands.,Theft and Related Offences,2023,Nelson Region,1
172,Maitlands.,Theft and Related Offences,2023,Nelson Region,1
173,Tahuna Hills.,Theft and Related Offences,2023,Nelson Region,1
174,Britannia.,Theft and Related Offences,2023,Nelson Region,1
175,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
176,Langbein.,Theft and Related Offences,2023,Nelson Region,1
177,Nayland.,Theft and Related Offences,2023,Nelson Region,1
178,Nayland.,Theft and Related Offences,2023,Nelson Region,1
179,Nelson Airport.,Theft and Related Offences,2023,Nelson Region,1
180,Whangamoa.,Theft and Related Offences,2023,Nelson Region,1
181,Kirks.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
182,Trafalgar.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
183,Nelson Airport.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
184,Nelson Airport.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
185,The Brook.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
186,Ngawhatu.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
187,Nelson Airport.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
188,Tahunanui.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
189,Trafalgar.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
190,Kirks.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
191,Bronte.,Acts Intended to Cause Injury,2023,Nelson Region,1
192,Toi Toi.,Acts Intended to Cause Injury,2023,Nelson Region,1
193,Whangamoa.,Acts Intended to Cause Injury,2023,Nelson Region,1
194,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
195,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
196,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
197,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
198,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
199,Isel Park.,Acts Intended to Cause Injury,2023,Nelson Region,1
200,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
201,Langbein.,Acts Intended to Cause Injury,2023,Nelson Region,1
202,Washington.,Acts Intended to Cause Injury,2023,Nelson Region,1
203,Enner Glynn.,Sexual Assault and Related Offences,2023,Nelson Region,1
204,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
205,Tahunanui.,Theft and Related Offences,2023,Nelson Region,1
206,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
207,Whangamoa.,Theft and Related Offences,2023,Nelson Region,1
208,Maitlands.,Sexual Assault and Related Offences,2023,Nelson Region,1
209,Clifton.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
210,Tahunanui.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Nelson Region,3
211,Bronte.,Acts Intended to Cause Injury,2023,Nelson Region,1
212,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
213,The Wood.,Acts Intended to Cause Injury,2023,Nelson Region,1
214,The Brook.,Theft and Related Offences,2023,Nelson Region,1
215,Langbein.,Theft and Related Offences,2023,Nelson Region,1
216,Enner Glynn.,Theft and Related Offences,2023,Nelson Region,1
217,Ngawhatu.,Theft and Related Offences,2023,Nelson Region,1
218,Ngawhatu.,Theft and Related Offences,2023,Nelson Region,1
219,Saxton.,Theft and Related Offences,2023,Nelson Region,1
220,Broads.,Theft and Related Offences,2023,Nelson Region,1
221,Langbein.,Theft and Related Offences,2023,Nelson Region,1
222,Bronte.,Acts Intended to Cause Injury,2023,Nelson Region,2
223,Nayland.,Acts Intended to Cause Injury,2023,Nelson Region,1
224,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
225,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
226,Washington.,Acts Intended to Cause Injury,2023,Nelson Region,1
227,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
228,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
229,Grampians.,Acts Intended to Cause Injury,2023,Nelson Region,1
230,Nayland.,Acts Intended to Cause Injury,2023,Nelson Region,1
231,The Brook.,Acts Intended to Cause Injury,2023,Nelson Region,1
232,Washington.,Acts Intended to Cause Injury,2023,Nelson Region,1
233,Nelson Airport.,Acts Intended to Cause Injury,2023,Nelson Region,1
234,Grampians.,Acts Intended to Cause Injury,2023,Nelson Region,1
235,Grampians.,Acts Intended to Cause Injury,2023,Nelson Region,2
236,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,2
237,Nayland.,Acts Intended to Cause Injury,2023,Nelson Region,2
238,Saxton.,Acts Intended to Cause Injury,2023,Nelson Region,1
239,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
240,Saxton.,Acts Intended to Cause Injury,2023,Nelson Region,1
241,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
242,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
243,The Wood.,Acts Intended to Cause Injury,2023,Nelson Region,1
244,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
245,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
246,Nayland.,Acts Intended to Cause Injury,2023,Nelson Region,1
247,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
248,Grampians.,Acts Intended to Cause Injury,2023,Nelson Region,1
249,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
250,Washington.,Acts Intended to Cause Injury,2023,Nelson Region,1
251,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
252,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
253,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
254,The Wood.,Acts Intended to Cause Injury,2023,Nelson Region,1
255,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
256,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
257,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,2
258,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,2
259,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,2
260,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,2
261,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,2
262,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,2
263,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
264,Nelson Airport.,Acts Intended to Cause Injury,2023,Nelson Region,1
265,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
266,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
267,Grampians.,Acts Intended to Cause Injury,2023,Nelson Region,1
268,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
269,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
270,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
271,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
272,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
273,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
274,Whangamoa.,Acts Intended to Cause Injury,2023,Nelson Region,1
275,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
276,Nelson Airport.,Acts Intended to Cause Injury,2023,Nelson Region,1
277,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,2
278,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,2
279,Port Nelson.,Acts Intended to Cause Injury,2023,Nelson Region,2
280,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,2
281,Langbein.,Acts Intended to Cause Injury,2023,Nelson Region,1
282,Atawhai.,Acts Intended to Cause Injury,2023,Nelson Region,1
283,Kirks.,Acts Intended to Cause Injury,2023,Nelson Region,1
284,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
285,Tahuna Hills.,Acts Intended to Cause Injury,2023,Nelson Region,1
286,Broads.,Acts Intended to Cause Injury,2023,Nelson Region,1
287,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
288,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
289,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
290,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
291,Atawhai.,Acts Intended to Cause Injury,2023,Nelson Region,1
292,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
293,Port Nelson.,Acts Intended to Cause Injury,2023,Nelson Region,1
294,Britannia.,Acts Intended to Cause Injury,2023,Nelson Region,1
295,Isel Park.,Acts Intended to Cause Injury,2023,Nelson Region,1
296,Maitlands.,Acts Intended to Cause Injury,2023,Nelson Region,1
297,Langbein.,Acts Intended to Cause Injury,2023,Nelson Region,1
298,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
299,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
300,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
301,Trafalgar.,Theft and Related Offences,2023,Nelson Region,2
302,Trafalgar.,Theft and Related Offences,2023,Nelson Region,2
303,Grampians.,Theft and Related Offences,2023,Nelson Region,1
304,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
305,Whangamoa.,Acts Intended to Cause Injury,2023,Nelson Region,1
306,Grampians.,Acts Intended to Cause Injury,2023,Nelson Region,1
307,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
308,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
309,Bronte.,Theft and Related Offences,2023,Nelson Region,1
310,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
311,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
312,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
313,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
314,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
315,The Wood.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Nelson Region,1
316,Trafalgar.,"Robbery, Extortion and Related Offences",2023,Nelson Region,1
317,Tahunanui.,"Robbery, Extortion and Related Offences",2023,Nelson Region,1
318,Trafalgar.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
319,Grampians.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
320,Ngawhatu.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
321,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
322,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
323,Langbein.,Theft and Related Offences,2023,Nelson Region,1
324,Langbein.,Theft and Related Offences,2023,Nelson Region,1
325,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
326,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
327,Langbein.,Theft and Related Offences,2023,Nelson Region,1
328,Tahunanui.,Theft and Related Offences,2023,Nelson Region,1
329,Tahunanui.,Theft and Related Offences,2023,Nelson Region,1
330,Washington.,Theft and Related Offences,2023,Nelson Region,1
331,Washington.,Theft and Related Offences,2023,Nelson Region,1
332,Grampians.,Theft and Related Offences,2023,Nelson Region,1
333,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
334,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
335,Langbein.,Theft and Related Offences,2023,Nelson Region,1
336,Washington.,Theft and Related Offences,2023,Nelson Region,1
337,Whangamoa.,Theft and Related Offences,2023,Nelson Region,1
338,Atawhai.,Theft and Related Offences,2023,Nelson Region,1
339,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
340,Maitlands.,Theft and Related Offences,2023,Nelson Region,1
341,Saxton.,Theft and Related Offences,2023,Nelson Region,1
342,Toi Toi.,Theft and Related Offences,2023,Nelson Region,1
343,Broads.,Theft and Related Offences,2023,Nelson Region,1
344,Grampians.,Theft and Related Offences,2023,Nelson Region,1
345,Nelson Airport.,Theft and Related Offences,2023,Nelson Region,1
346,Broads.,Theft and Related Offences,2023,Nelson Region,1
347,Washington.,Theft and Related Offences,2023,Nelson Region,1
348,Enner Glynn.,Theft and Related Offences,2023,Nelson Region,1
349,Tahunanui.,Theft and Related Offences,2023,Nelson Region,1
350,Kirks.,Theft and Related Offences,2023,Nelson Region,1
351,Kirks.,Theft and Related Offences,2023,Nelson Region,1
352,Nelson Airport.,Theft and Related Offences,2023,Nelson Region,1
353,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
354,Britannia.,Theft and Related Offences,2023,Nelson Region,1
355,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
356,Nayland.,"Robbery, Extortion and Related Offences",2023,Nelson Region,1
357,Nayland.,"Robbery, Extortion and Related Offences",2023,Nelson Region,1
358,Isel Park.,"Robbery, Extortion and Related Offences",2023,Nelson Region,1
359,Clifton.,Theft and Related Offences,2023,Nelson Region,1
360,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
361,Maitlands.,Theft and Related Offences,2023,Nelson Region,1
362,Enner Glynn.,Acts Intended to Cause Injury,2023,Nelson Region,1
363,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,1
364,Nayland.,Acts Intended to Cause Injury,2023,Nelson Region,1
365,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,2
366,Tahunanui.,Acts Intended to Cause Injury,2023,Nelson Region,2
367,Isel Park.,Acts Intended to Cause Injury,2023,Nelson Region,1
368,Port Nelson.,Acts Intended to Cause Injury,2023,Nelson Region,1
369,Maitlands.,Theft and Related Offences,2023,Nelson Region,1
370,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
371,Broads.,Theft and Related Offences,2023,Nelson Region,1
372,Trafalgar.,Theft and Related Offences,2023,Nelson Region,2
373,Atawhai.,Theft and Related Offences,2023,Nelson Region,3
374,Maitai.,Theft and Related Offences,2023,Nelson Region,1
375,Maitlands.,Theft and Related Offences,2023,Nelson Region,1
376,Port Nelson.,Theft and Related Offences,2023,Nelson Region,1
377,The Wood.,Theft and Related Offences,2023,Nelson Region,1
378,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
379,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
380,Whangamoa.,Theft and Related Offences,2023,Nelson Region,1
381,Bronte.,Theft and Related Offences,2023,Nelson Region,1
382,Nayland.,Theft and Related Offences,2023,Nelson Region,1
383,Port Nelson.,Theft and Related Offences,2023,Nelson Region,1
384,Maitlands.,"Robbery, Extortion and Related Offences",2023,Nelson Region,1
385,Trafalgar.,Sexual Assault and Related Offences,2023,Nelson Region,1
386,Isel Park.,Theft and Related Offences,2023,Nelson Region,1
387,Nayland.,Theft and Related Offences,2023,Nelson Region,1
388,Atawhai.,Theft and Related Offences,2023,Nelson Region,1
389,Port Nelson.,Theft and Related Offences,2023,Nelson Region,1
390,Trafalgar.,Theft and Related Offences,2023,Nelson Region,2
391,Broads.,Theft and Related Offences,2023,Nelson Region,1
392,Clifton.,Theft and Related Offences,2023,Nelson Region,1
393,Tahuna Hills.,Theft and Related Offences,2023,Nelson Region,1
394,Trafalgar.,Theft and Related Offences,2023,Nelson Region,1
395,Grampians.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Nelson Region,1
396,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
397,Grampians.,"Robbery, Extortion and Related Offences",2023,Nelson Region,1
398,Atmore.,"Robbery, Extortion and Related Offences",2023,Nelson Region,1
399,Grampians.,"Robbery, Extortion and Related Offences",2023,Nelson Region,2
400,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
401,Atawhai.,Acts Intended to Cause Injury,2023,Nelson Region,1
402,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
403,Atawhai.,Acts Intended to Cause Injury,2023,Nelson Region,1
404,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
405,Maitlands.,Acts Intended to Cause Injury,2023,Nelson Region,1
406,Trafalgar.,Acts Intended to Cause Injury,2023,Nelson Region,1
407,Maitlands.,Acts Intended to Cause Injury,2023,Nelson Region,1
408,Ngawhatu.,Acts Intended to Cause Injury,2023,Nelson Region,1
409,Nelson Airport.,Acts Intended to Cause Injury,2023,Nelson Region,1
410,Trafalgar.,"Robbery, Extortion and Related Offences",2023,Nelson Region,2
